Animal ID,Name,DateTime,MonthYear,Found Location,Intake Type,Intake Condition,Animal Type,Sex upon Intake,Age upon Intake,Breed,Color
A900742,Cracker Jack,3/24/2024 8:54,Mar-24,3309 Western Dr in Austin (TX),Public Assist,Normal,Dog,Intact Male,9 years,Labrador Retriever Mix,White
A900748,Mavis,3/24/2024 10:28,Mar-24,1806 Clubview Ave in Austin (TX),Stray,Sick,Dog,Intact Female,4 months,Pit Bull,Black/Black
A899650,*Sisa,3/24/2024 11:24,Mar-24,Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,2 years,Australian Kelpie,Black/Brown
A900762,Winnie,3/24/2024 11:36,Mar-24,13901 Randalstone Dr in Travis (TX),Stray,Normal,Dog,Intact Female,2 years,Standard Poodle Mix,White/Gray
A900763,,3/24/2024 11:36,Mar-24,13901 Randalstone Dr in Travis (TX),Stray,Normal,Dog,Intact Female,2 months,Standard Poodle Mix,Black/Brown
A900766,*Sputnik,3/24/2024 12:21,Mar-24,1401 Greenwood Ave in Austin (TX),Stray,Normal,Dog,Intact Male,3 years,Pit Bull Mix,Blue/White
A900764,Princess,3/24/2024 12:21,Mar-24,1401 Greenwood Ave in Austin (TX),Stray,Normal,Dog,Intact Female,3 years,Pit Bull Mix,Blue/White
A900769,,3/24/2024 13:22,Mar-24,4218 S 1St St in Austin (TX),Stray,Normal,Dog,Intact Female,5 months,Catahoula,Gray/Black
A900788,Salvador,3/24/2024 15:50,Mar-24,3800 South Mo Pac Express Way in Austin (TX),Public Assist,Normal,Dog,Neutered Male,8 years,Chihuahua Shorthair,Tan/White
A873684,Bravo,3/25/2024 11:18,Mar-24,10000 N Lamar Blvd in Austin (TX),Stray,Injured,Dog,Neutered Male,1 year,Labrador Retriever Mix,Tan/White
A899578,*Lil Taki,3/25/2024 11:38,Mar-24,Outside Jurisdiction,Owner Surrender,Normal,Dog,Neutered Male,7 months,Pointer,White
A900815,Kobe,3/25/2024 12:02,Mar-24,Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,5 years,Labrador Retriever,Tan/White
A896651,Cosmo,3/25/2024 12:52,Mar-24,Outside Jurisdiction,Owner Surrender,Normal,Dog,Neutered Male,2 months,Labrador Retriever Mix,Black/Tan
A900843,,3/25/2024 13:28,Mar-24,Citation Drive in Travis (TX),Stray,Normal,Dog,Intact Female,1 month,Labrador Retriever Mix,Brown/Black
A900844,,3/25/2024 13:28,Mar-24,Citation Drive in Travis (TX),Stray,Normal,Dog,Intact Female,1 month,Labrador Retriever Mix,Brown/Black
A900847,Elio,3/25/2024 13:28,Mar-24,Citation Drive in Travis (TX),Stray,Normal,Dog,Intact Male,1 month,Labrador Retriever Mix,Tan/Black
A900841,,3/25/2024 13:28,Mar-24,Citation Drive in Travis (TX),Stray,Normal,Dog,Intact Female,1 month,Labrador Retriever Mix,Black/Brown Brindle
A900842,Aussie,3/25/2024 13:28,Mar-24,Citation Drive in Travis (TX),Stray,Normal,Dog,Intact Female,1 month,Labrador Retriever Mix,Brown Brindle
A900846,Butter,3/25/2024 13:28,Mar-24,Citation Drive in Travis (TX),Stray,Normal,Dog,Intact Female,1 month,Labrador Retriever Mix,Tan/Black
A900343,*Carolyn,3/25/2024 14:12,Mar-24,Travis (TX),Stray,Normal,Dog,Intact Female,3 months,Labrador Retriever Mix,Black/White
A900345,*Padina,3/25/2024 14:12,Mar-24,Travis (TX),Stray,Normal,Dog,Intact Female,3 months,Labrador Retriever,White
A900344,*Quincy,3/25/2024 14:12,Mar-24,Travis (TX),Stray,Normal,Dog,Intact Female,3 months,Labrador Retriever,White
A900856,Rocky,3/25/2024 15:35,Mar-24,Austin (TX),Owner Surrender,Normal,Dog,Intact Male,1 year,Shiba Inu/Labrador Retriever,Gold/Cream
A900864,Olive,3/25/2024 16:53,Mar-24,12617 Mistletoe in Travis (TX),Owner Surrender,Normal,Dog,Intact Female,10 years,Dachshund Mix,Brown Brindle/Brown
A900866,Major,3/25/2024 16:53,Mar-24,12617 Mistletoe in Travis (TX),Owner Surrender,Normal,Dog,Intact Male,10 years,Dachshund Mix,Brown Brindle/White
A900862,Stewie,3/25/2024 16:53,Mar-24,12617 Mistletoe in Travis (TX),Owner Surrender,Normal,Dog,Intact Male,12 years,Cairn Terrier Mix,Black/White
A900863,Teana,3/25/2024 16:53,Mar-24,12617 Mistletoe in Travis (TX),Owner Surrender,Normal,Dog,Intact Female,14 years,Cairn Terrier Mix,Tan/White
A900865,Rummy,3/25/2024 16:53,Mar-24,12617 Mistletoe in Travis (TX),Owner Surrender,Normal,Dog,Intact Male,10 years,Cairn Terrier Mix,Brown/Black
A900867,Scamp,3/25/2024 16:53,Mar-24,12617 Mistletoe in Travis (TX),Owner Surrender,Normal,Dog,Intact Male,10 years,Dachshund/Chinese Crested,Tan/Brown
A900875,,3/25/2024 17:14,Mar-24,Springdale Road And Oak Springs Drive in Austin (TX),Stray,Normal,Dog,Intact Male,1 year,Chihuahua Shorthair,Black/Tan
A900903,*Carson,3/26/2024 7:29,Mar-24,2405 Montopolis Drive in Austin (TX),Stray,Aged,Dog,Intact Male,10 years,Chihuahua Shorthair,Tan/White
A900906,,3/26/2024 7:45,Mar-24,Menchaca And Lansing in Austin (TX),Stray,Pregnant,Dog,Intact Female,2 years,Border Collie Mix,Black/White
A897428,Juniper,3/26/2024 9:27,Mar-24,Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,5 years,Whippet Mix,Tan/White
A900909,Gunner,3/26/2024 9:54,Mar-24,11312 Briarcreek Loop in Travis (TX),Stray,Normal,Dog,Neutered Male,7 years,Labrador Retriever/Anatol Shepherd,Yellow
A878554,*Tag Along,3/26/2024 10:36,Mar-24,Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,2 years,Black Mouth Cur Mix,Tan/Black
A900365,*Mickey,3/26/2024 11:00,Mar-24,Old Fredricksburg Road And Highway 290 in Austin (TX),Stray,Normal,Dog,Neutered Male,2 years,Labrador Retriever/Pointer,Black/White
A895946,Kobe,3/26/2024 11:28,Mar-24,Outside Jurisdiction,Owner Surrender,Normal,Dog,Neutered Male,2 years,Plott Hound Mix,Brown Brindle
A900923,Jaxson,3/26/2024 11:57,Mar-24,2730 S Congress Ave in Austin (TX),Stray,Normal,Dog,Neutered Male,1 year,Labrador Retriever,Black
A900916,*Brian,3/26/2024 12:14,Mar-24,18706 Blake Manor Cir in Austin (TX),Stray,Normal,Dog,Intact Male,7 years,Chihuahua Shorthair,White/Brown
A893959,*Cupid,3/26/2024 12:47,Mar-24,Outside Jurisdiction,Owner Surrender,Normal,Dog,Neutered Male,1 year,Great Dane/Labrador Retriever,Black/White
A900933,Penny,3/26/2024 13:13,Mar-24,5825 Tributary Ridge in Austin (TX),Abandoned,Normal,Dog,Intact Female,5 months,Pit Bull,Chocolate/White
A900961,Blu,3/26/2024 17:09,Mar-24,Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,4 years,Cane Corso Mix,Brown Brindle
A900984,,3/27/2024 7:45,Mar-24,Menchaca And Lansing in Austin (TX),Stray,Neonatal,Dog,Unknown,1 day,Border Collie Mix,Black/White
A900987,,3/27/2024 7:45,Mar-24,Menchaca And Lansing in Austin (TX),Stray,Neonatal,Dog,Unknown,1 day,Border Collie Mix,Black/White
A900988,,3/27/2024 7:45,Mar-24,Menchaca And Lansing in Austin (TX),Stray,Neonatal,Dog,Unknown,1 day,Border Collie Mix,Brown/White
A900985,,3/27/2024 7:45,Mar-24,Menchaca And Lansing in Austin (TX),Stray,Neonatal,Dog,Unknown,1 day,Border Collie Mix,Black/White
A900986,,3/27/2024 7:45,Mar-24,Menchaca And Lansing in Austin (TX),Stray,Neonatal,Dog,Unknown,1 day,Border Collie Mix,Black/White
A900990,,3/27/2024 7:45,Mar-24,Menchaca And Lansing in Austin (TX),Stray,Neonatal,Dog,Unknown,1 day,Border Collie Mix,White/Brown
A900991,,3/27/2024 7:45,Mar-24,Menchaca And Lansing in Austin (TX),Stray,Neonatal,Dog,Unknown,1 day,Border Collie Mix,White/Brown
A900989,,3/27/2024 7:45,Mar-24,Menchaca And Lansing in Austin (TX),Stray,Neonatal,Dog,Unknown,1 day,Border Collie Mix,Brown/White
A900972,Sally,3/27/2024 8:27,Mar-24,301 Chisholm Trl in Round Rock (TX),Stray,Injured,Dog,Intact Female,2 months,German Shepherd Mix,Black/Brown
A900980,Millie The Moo Cow,3/27/2024 10:41,Mar-24,10302 Rodriguez Rd in Travis (TX),Stray,Injured,Dog,Intact Female,3 years,Dalmatian Mix,White/Black
A900981,*Brock,3/27/2024 11:04,Mar-24,Austin (TX),Stray,Normal,Dog,Intact Male,3 years,American Pit Bull Terrier,White
A900998,Artemis,3/27/2024 11:28,Mar-24,Outside Jurisdiction,Owner Surrender,Normal,Dog,Spayed Female,4 years,German Shepherd Mix,Tan/White
